[05/Jan/2023 20:12:58] INFO [django.utils.autoreload:643] Watching for file changes with StatReloader
[05/Jan/2023 20:12:58] DEBUG [django.utils.autoreload:321] Waiting for apps ready_event.
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:333] Apps ready_event triggered. Sending autoreload_started signal.
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:287] Watching dir /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/bootstrap5/templates with glob **/*.
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:287] Watching dir /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/allauth/templates with glob **/*.
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:287] Watching dir /Users/zhaohanzhang/Desktop/Classify/classify/templates with glob **/*.
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:287] Watching dir /Users/zhaohanzhang/Desktop/Classify/locale with glob **/*.mo.
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:287] Watching dir /Users/zhaohanzhang/Desktop/Classify/classify/locale with glob **/*.mo.
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:287] Watching dir /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/bootstrap5/locale with glob **/*.mo.
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:287] Watching dir /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/whitenoise/locale with glob **/*.mo.
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:287] Watching dir /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/allauth/locale with glob **/*.mo.
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:287] Watching dir /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/allauth/account/locale with glob **/*.mo.
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:287] Watching dir /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/allauth/socialaccount/locale with glob **/*.mo.
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:287] Watching dir /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/allauth/socialaccount/providers/google/locale with glob **/*.mo.
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/asyncio/coroutines.py first seen with mtime 1662401187.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/zoneinfo/_tzpath.py first seen with mtime 1662401188.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/allauth/socialaccount/admin.py first seen with mtime 1665262641.7971926
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/urllib3/util/__init__.py first seen with mtime 1667611009.9337802
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/_socket.cpython-310-darwin.so first seen with mtime 1662401585.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/contrib/auth/password_validation.py first seen with mtime 1665716336.0683334
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/stringprep.py first seen with mtime 1662401187.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/contrib/sites/shortcuts.py first seen with mtime 1665716337.1388514
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/codecs.py first seen with mtime 1662401187.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/bisect.py first seen with mtime 1662401187.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/_pickle.cpython-310-darwin.so first seen with mtime 1662401584.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/charset_normalizer/__init__.py first seen with mtime 1665716340.4514565
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/urllib3/util/ssltransport.py first seen with mtime 1667611009.9321504
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/_compat_pickle.py first seen with mtime 1662401187.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/contrib/messages/storage/__init__.py first seen with mtime 1665716336.7827675
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/contrib/contenttypes/apps.py first seen with mtime 1665716336.2047753
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/contrib/messages/api.py first seen with mtime 1665716336.7792833
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/email/message.py first seen with mtime 1662401187.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/db/models/aggregates.py first seen with mtime 1665716337.3567488
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/asyncio/events.py first seen with mtime 1662401187.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/utils/translation/__init__.py first seen with mtime 1665716337.484677
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/_hashlib.cpython-310-darwin.so first seen with mtime 1662401583.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/db/backends/base/introspection.py first seen with mtime 1665716337.3212743
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/email/header.py first seen with mtime 1662401187.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/http/cookies.py first seen with mtime 1662401187.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/http/cookiejar.py first seen with mtime 1662401187.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1665716337.3535872
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/core/wsgi.py first seen with mtime 1665716337.264607
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/importlib/readers.py first seen with mtime 1662401188.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/db/backends/base/validation.py first seen with mtime 1665716337.3231153
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/requests/__version__.py first seen with mtime 1665716340.5780623
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/db/models/sql/constants.py first seen with mtime 1665716337.3767247
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/db/migrations/exceptions.py first seen with mtime 1665716337.3471074
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/views/defaults.py first seen with mtime 1665716337.4887547
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1665716337.2659957
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/core/files/uploadhandler.py first seen with mtime 1665716337.2864287
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/certifi/core.py first seen with mtime 1667611009.8470762
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Users/zhaohanzhang/Desktop/Classify/cs3240a17/urls.py first seen with mtime 1669146897.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/pprint.py first seen with mtime 1662401187.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Users/zhaohanzhang/Desktop/Classify/cs3240a17/__init__.py first seen with mtime 1669146897.0
